Destinos22_id,Destinos22
Unidos,"7,761097341"
Estados,"7,03059615"
Paraguai,"6,60841032"
Uruguai,"4,832151709"
Chile,"4,513374751"
Colômbia,"3,728151355"
Peru,"3,154674725"
México,"2,979241776"
Panamá,"2,800589873"
Ilhas,"2,451836413"
Marshall,"2,211219661"
Equador,"2,153580281"
Libéria,"2,067875652"
China,"1,991123737"
do,"1,720228707"
Hong,"1,685121998"
Kong,"1,685121998"
Sul,"1,594387755"
Singapura,"1,564210069"
Unido,"1,527594476"
Reino,"1,527594476"
Portugal,"1,491079476"
França,"1,45607336"
Itália,"1,32721464"
Baixos,"1,220989184"
Holanda,"1,220989184"
Países,"1,220989184"
República,"1,190509721"
Costa,"1,169385341"
Japão,"1,098367186"
Malta,"1,088810919"
Espanha,"1,0655741"
Rica,"1,046260381"
Índia,"1,029863838"
Guatemala,"1,025638962"
África,"1,008337089"
Dominicana,"0,9991831906"
Grécia,"0,9662895127"
Canadá,"0,9588456834"
Chipre,"0,8308922938"
Venezuela,"0,7575605163"
Noruega,"0,7508208331"
Árabes,"0,730501191"
Emirados,"0,730501191"
Tailândia,"0,6308142342"
Guiana,"0,5994294405"
Coreia,"0,5835358591"
Turquia,"0,5705594541"
Honduras,"0,5501392197"
El,"0,5212692332"
Salvador,"0,5212692332"
Dinamarca,"0,5058786133"
Vietnã,"0,4211799073"
Argentina,"0,4008602652"
Nicarágua,"0,3891915599"
Suíça,"0,369978433"
Malásia,"0,3681677718"
Indonésia,"0,3609251271"
Filipinas,"0,3507653061"
Taiwan,"0,3351735016"
Formosa,"0,3351735016"
Egito,"0,302782785"
Polônia,"0,3005697547"
Israel,"0,2948359943"
Rússia,"0,2776347132"
Suécia,"0,2405161591"
Bolívia,"0,2180840791"
Nova,"0,2169775639"
Rico,"0,2140603876"
Porto,"0,2140603876"
Francesa,"0,2121491341"
Catar,"0,1996756905"
Cayman,"0,1948472607"
Tobago,"0,1924330458"
Trinidad,"0,1924330458"
Zelândia,"0,1794566407"
Gana,"0,177444795"
Suriname,"0,1773442027"
São,"0,1572257452"
Marrocos,"0,1510896157"
Paquistão,"0,1443499324"
Cuba,"0,1435451941"
Nigéria,"0,1426398635"
Irlanda,"0,1415333484"
Congo,"0,1394209103"
Jamaica,"0,1356989957"
Jordânia,"0,1354978111"
Líbano,"0,1349948497"
Moçambique,"0,1326812271"
Marfim,"0,1231249598"
Granadinas,"0,11829653"
Vicente,"0,11829653"
Coveite,"0,1174917917"
Kuweit,"0,1174917917"
Romênia,"0,1154799459"
Tcheca,"0,1079355244"
Guiné,"0,1079355244"
Alemanha,"0,1018999871"
Quênia,"0,1003911028"
Hungria,"0,09988814138"
Haiti,"0,09817807249"
Omã,"0,09475793472"
Gibraltar,"0,09284668126"
Iraque,"0,09184075839"
Líbia,"0,09184075839"
Maurício,"0,0893259512"
Curaçao,"0,08801825146"
Verde,"0,08570462885"
Cabo,"0,08570462885"
Ilha,"0,08530225971"
de,"0,08349159853"
Finlândia,"0,08037323762"
Irã,"0,08017205305"
Luxemburgo,"0,07886435331"
Man,"0,07745606129"
Democrática,"0,07705369214"
Camarões,"0,07463947724"
Tunísia,"0,07423710809"
Senegal,"0,07071637803"
Geórgia,"0,06568676366"
Bulgária,"0,06518380223"
Uzbequistão,"0,06508320994"
Croácia,"0,06327254877"
Lituânia,"0,06317195648"
Ucrânia,"0,06206544132"
Gabão,"0,05914826498"
Bahamas,"0,05864530355"
Tanzânia,"0,05633168094"
Angola,"0,05623108865"
Cazaquistão,"0,05613049636"
Brasil,"0,05613049636"
Sérvia,"0,05512457349"
Eslováquia,"0,0542192429"
Eslovênia,"0,05301213545"
Letônia,"0,05079910513"
Guadalupe,"0,04969258997"
Togo,"0,0486866671"
Sudão,"0,0462724522"
Zâmbia,"0,04355646044"
Bélgica,"0,04214816842"
Martinica,"0,04154461469"
Austrália,"0,04114224554"
Camboja,"0,03792329235"
Benin,"0,03651500032"
Bissau,"0,03540848516"
Estônia,"0,03359782399"
Gâmbia,"0,0334972317"
Serra,"0,03259190111"
Leoa,"0,03259190111"
Reunião,"0,03218953196"
Uganda,"0,03198834739"
Granada,"0,03088183223"
Seicheles,"0,02746169446"
Sri,"0,02675754845"
Lanka,"0,02675754845"
Mauritânia,"0,02534925642"
Iêmen,"0,02444392584"
Maldivas,"0,02444392584"
Vanuatu,"0,02444392584"
Saudita,"0,02414214897"
Arábia,"0,02414214897"
Zimbábue,"0,02404155669"
Turcomenistão,"0,02363918754"
Polinésia,"0,0223314878"
Caledônia,"0,02182852636"
Equatorial,"0,0215267495"
Palestina,"0,0215267495"
Namíbia,"0,01971608833"
Cook,"0,01971608833"
Santa,"0,01850898088"
Lúcia,"0,01840838859"
Montenegro,"0,01820720402"
Moldávia,"0,01800601944"
Barbuda,"0,01800601944"
Antígua,"0,01800601944"
Barbados,"0,01770424258"
Etiópia,"0,01760365029"
Timor,"0,01669831971"
Madagascar,"0,01669831971"
Leste,"0,01669831971"
Sint,"0,01639654284"
Maarten,"0,01639654284"
Papua,"0,01569239683"
Fiji,"0,01488765853"
Malvinas,"0,01428410481"
Falkland,"0,01428410481"
Tomé,"0,01388173566"
Príncipe,"0,01388173566"
Macedônia,"0,01317758965"
Bangladesh,"0,01237285135"
Palau,"0,01217166677"
Samoa,"0,01166870534"
Dominica,"0,01156811305"
Barein,"0,01106515161"
Cristóvão,"0,01096455933"
Névis,"0,01096455933"
Nepal,"0,01076337475"
Mali,"0,01046159789"
Islândia,"0,0103610056"
Virgens,"0,009958636451"
Belize,"0,00925449044"
Áustria,"0,009053305865"
Ruanda,"0,008952713578"
Comores,"0,008751529003"
Somália,"0,008751529003"
Botsuana,"0,008550344428"
Djibuti,"0,008550344428"
Bermudas,"0,008248567566"
Bartolomeu,"0,008047382991"
Mongólia,"0,007946790704"
Brunei,"0,007544421554"
Liechtenstein,"0,007443829267"
Macau,"0,007443829267"
Argélia,"0,007343236979"
Britânicas,"0,00694086783"
Aruba,"0,006437906393"
Centro,"0,006337314105"
Africana,"0,006337314105"
francesa,"0,006035537243"
parte,"0,006035537243"
Martinho,"0,006035537243"
Malavi,"0,005834352669"
Turcas,"0,005431983519"
Caicos,"0,005431983519"
Síria,"0,005130206657"
Chade,"0,004828429795"
Cocos,"0,00462724522"
Keeling,"0,00462724522"
Mayotte,"0,004526652932"
Americana,"0,004426060645"
Niue,"0,003721914633"
Tuvalu,"0,003420137771"
Tonga,"0,003420137771"
Quirguistão,"0,003420137771"
Francesas,"0,003118360909"
Terras,"0,003118360909"
Austrais,"0,003118360909"
Americanas,"0,003017768622"
Níger,"0,002715991759"
Pacífico,"0,002615399472"
EUA,"0,002615399472"
Salomão,"0,002213030323"
Mônaco,"0,00191125346"
Laos,"0,00191125346"
Albânia,"0,001810661173"
Azerbaijão,"0,001609476598"
Guam,"0,001508884311"
Montserrat,"0,001508884311"
Norfolk,"0,001508884311"
Burkina,"0,001207107449"
Faso,"0,001207107449"
Herzegovina,"0,001106515161"
Kiribati,"0,001106515161"
Bósnia,"0,001106515161"
Butão,"0,001106515161"
Burundi,"0,001106515161"
Saint,"0,001106515161"
Eustatius,"0,001106515161"
Saba,"0,001106515161"
Bonaire,"0,001106515161"
Nauru,"0,001005922874"
Jersey,"0,001005922874"
Marino,"0,0009053305865"
San,"0,0009053305865"
Faroe,"0,0007041460117"
Eritreia,"0,0006035537243"
Belarus,"0,0006035537243"
Lesoto,"0,0006035537243"
Armênia,"0,0006035537243"
Mianmar,"0,0005029614369"
Guernsey,"0,0005029614369"
Vaticano,"0,0005029614369"
Afeganistão,"0,0004023691496"
Tadjiquistão,"0,0004023691496"
Micronésia,"0,0004023691496"
Anguilla,"0,0003017768622"
Pitcairn,"0,0003017768622"
Heard,"0,0003017768622"
Wallis,"0,0003017768622"
Futuna,"0,0003017768622"
ilhas,"0,0003017768622"
mcdonald,"0,0003017768622"
Suazilândia,"0,0002011845748"
Andorra,"0,0002011845748"
Saara,"0,0001005922874"
Ocidental,"0,0001005922874"
Norte,"0,0001005922874"
Toquelau,"0,0001005922874"
Sandwich,"0,0001005922874"
Marianas,"0,0001005922874"
Helena,"0,0001005922874"
Groenlândia,"0,0001005922874"